Cost,Prob,Real_Goal,Results,Time
0.7511154413223267/0.15825973451137543/0.09062492847442627/,0.7511154413223267/0.15825973451137543/0.09062492847442627/,0.0,0/,0.000804901123046875
0.5959761142730713/0.36466026306152344/0.039363693445920944/,0.5959761142730713/0.36466026306152344/0.039363693445920944/,0.0,0/,0.0008461475372314453
0.16074609756469727/0.4884907901287079/0.35076308250427246/,0.16074609756469727/0.4884907901287079/0.35076308250427246/,1.0,1/,0.0005259513854980469
0.5038466453552246/0.4460681080818176/0.050085216760635376/,0.5038466453552246/0.4460681080818176/0.050085216760635376/,1.0,0/,0.0006220340728759766
0.36825016140937805/0.6163930892944336/0.0153567586094141/,0.36825016140937805/0.6163930892944336/0.0153567586094141/,1.0,1/,0.0006856918334960938
0.729502260684967/0.244613915681839/0.025883764028549194/,0.729502260684967/0.244613915681839/0.025883764028549194/,1.0,0/,0.0007579326629638672
0.5103508234024048/0.44012367725372314/0.04952550306916237/,0.5103508234024048/0.44012367725372314/0.04952550306916237/,1.0,0/,0.0008428096771240234
0.24855895340442657/0.5516586303710938/0.19978246092796326/,0.24855895340442657/0.5516586303710938/0.19978246092796326/,2.0,1/,0.00098419189453125
0.349381685256958/0.39045435190200806/0.26016393303871155/,0.349381685256958/0.39045435190200806/0.26016393303871155/,2.0,1/,0.0010051727294921875
0.6424412131309509/0.16139857470989227/0.1961601972579956/,0.6424412131309509/0.16139857470989227/0.1961601972579956/,2.0,0/,0.0012297630310058594
0.2640002369880676/0.03761155903339386/0.6983882188796997/,0.2640002369880676/0.03761155903339386/0.6983882188796997/,2.0,2/,0.0008389949798583984
0.11828631907701492/0.19197283685207367/0.6897408366203308/,0.11828631907701492/0.19197283685207367/0.6897408366203308/,2.0,2/,0.0010271072387695312
0.12045657634735107/0.6477195620536804/0.23182378709316254/,0.12045657634735107/0.6477195620536804/0.23182378709316254/,0.0,1/,0.0005331039428710938
0.27839240431785583/0.677594006061554/0.04401348903775215/,0.27839240431785583/0.677594006061554/0.04401348903775215/,0.0,1/,0.0011470317840576172
0.4265613257884979/0.5435202717781067/0.029918355867266655/,0.4265613257884979/0.5435202717781067/0.029918355867266655/,0.0,1/,0.0006830692291259766
0.28902047872543335/0.6875336766242981/0.023445812985301018/,0.28902047872543335/0.6875336766242981/0.023445812985301018/,0.0,1/,0.0008118152618408203
0.6153746247291565/0.3738844692707062/0.010740898549556732/,0.6153746247291565/0.3738844692707062/0.010740898549556732/,0.0,0/,0.0009367465972900391
0.1019957959651947/0.23858147859573364/0.6594226360321045/,0.1019957959651947/0.23858147859573364/0.6594226360321045/,1.0,2/,0.0005350112915039062
0.6050558686256409/0.29453808069229126/0.10040606558322906/,0.6050558686256409/0.29453808069229126/0.10040606558322906/,1.0,0/,0.0005950927734375
0.13483983278274536/0.8430454134941101/0.022114789113402367/,0.13483983278274536/0.8430454134941101/0.022114789113402367/,1.0,1/,0.0006618499755859375
0.3686138689517975/0.5662810206413269/0.06510516256093979/,0.3686138689517975/0.5662810206413269/0.06510516256093979/,1.0,1/,0.0010182857513427734
0.2418985515832901/0.3175959289073944/0.4405055642127991/,0.2418985515832901/0.3175959289073944/0.4405055642127991/,1.0,2/,0.0009210109710693359
0.10513284802436829/0.20255379378795624/0.6923134326934814/,0.10513284802436829/0.20255379378795624/0.6923134326934814/,2.0,2/,0.0005218982696533203
0.5939593315124512/0.17252063751220703/0.23351998627185822/,0.5939593315124512/0.17252063751220703/0.23351998627185822/,2.0,0/,0.0006248950958251953
0.7530093193054199/0.2078036665916443/0.03918704390525818/,0.7530093193054199/0.2078036665916443/0.03918704390525818/,2.0,0/,0.0006878376007080078
