Subject,Loc,LocO,Iteration,Sfe,Saa,Scpr,Scde,Tfe,Tb,BSH_MAV,TLAH_MAV,TLH_MAV,DA_MAV,DM_MAV,DP_MAV,BLH_RMS,BSH_ZC,BLH_ZC,TLAH_ZC,TLH_ZC,DA_ZC,DM_ZC,DP_ZC,BSH_SC,BLH_SC,DA_SC,DP_SC,Efe,dSfe,dSaa,dScpr,dTfe,dTb
10,1,7,10,39.21727877,14.44195372,-0.00344985,0.002784333,13.94361268,0.170277751,3.10E-05,8.84E-06,4.60E-06,3.31E-05,1.80E-05,3.40E-06,3.49E-05,32,25,34,33,29,40,41,53,47,48,81,69.08551723,142.4711184,41.76488348,0.001784121,-3.000143688,0.239767687
10,1,7,10,53.32438246,19.41151774,-0.004929233,0.004980222,13.71772227,0.222079144,2.00E-05,7.29E-06,4.12E-06,3.72E-05,2.14E-05,3.72E-06,2.67E-05,37,25,34,32,27,36,45,60,58,49,77,70.24982126,127.1440448,55.2749922,-0.026258272,-2.05917375,1.5343337
10,1,7,10,63.04442202,24.8160356,-0.007965039,0.007343056,13.46935699,0.529576707,1.65E-05,7.78E-06,4.29E-06,4.10E-05,2.14E-05,4.57E-06,3.25E-05,32,31,30,35,30,36,44,62,64,49,82,68.7641185,73.21158802,49.27907581,-0.028307998,-2.548687447,4.289312911
10,1,7,10,67.73922031,28.96527683,-0.010249706,0.008674278,13.29024737,0.958288146,2.13E-05,8.38E-06,4.78E-06,4.25E-05,1.89E-05,5.78E-06,4.83E-05,24,31,30,44,33,35,44,62,60,57,83,67.71108377,32.10435101,32.68760169,-0.015807839,-1.540426163,2.830286037
10,1,7,25,6.77438112,7.610813295,-0.0014002,-0.000127,16.54556085,0.065551289,3.88E-05,6.62E-06,3.84E-06,1.24E-05,6.36E-06,3.71E-06,2.91E-05,29,17,24,23,24,26,28,51,43,53,85,34.01795598,17.33456596,13.0080102,0.003250672,1.975962382,0.284992613
10,1,7,25,10.06488842,9.415598767,-0.000401056,-0.0001595,16.47631063,0.085306122,3.96E-05,6.39E-06,3.69E-06,1.14E-05,9.29E-06,3.49E-06,3.09E-05,30,16,26,35,29,27,32,46,44,61,75,44.44360931,48.84381083,21.61135829,0.014288177,-2.871203663,0.157547235
10,1,7,25,17.53370059,11.8315414,0.001458544,-0.000175778,15.98021269,0.109861946,3.42E-05,6.82E-06,3.59E-06,2.26E-05,1.55E-05,2.91E-06,2.94E-05,32,16,29,43,27,25,39,42,59,46,82,56.14720295,96.3036929,25.15061402,0.021328763,-6.361015309,0.45942464
10,1,7,25,29.33762797,14.19031262,0.0033125,0.000387111,15.20985621,0.188363733,2.96E-05,9.17E-06,4.02E-06,2.93E-05,1.68E-05,3.82E-06,3.30E-05,33,23,30,36,34,31,36,42,54,46,83,65.1034166,130.5189713,22.18149432,0.015777543,-8.079502811,0.80110535
10,1,7,25,42.38997242,16.44293573,0.003926383,0.001551278,14.48504696,0.175190407,1.82E-05,9.52E-06,4.30E-06,3.09E-05,1.83E-05,4.95E-06,2.97E-05,33,30,30,38,37,34,45,47,47,50,73,69.70092712,127.0250249,26.91287003,-0.004318914,-5.651078763,-1.01628842
10,1,7,25,53.17121705,19.39422699,0.002707961,0.003001111,14.04834029,0.169845466,1.25E-05,9.36E-06,4.62E-06,3.47E-05,2.15E-05,5.46E-06,2.52E-05,34,33,28,38,29,32,53,51,55,58,75,71.71349576,90.85737487,32.28808983,-0.017861338,-3.561910428,0.78601719
