Real_Goal,Time,Cost,Prob,Results
0,233089713,78/94/105/,0.3956994257655982/0.3231521456990632/0.28114842853533867/,0/
0,238803632,209/148/83/,0.1324699884930027/0.2738407119300979/0.5936892995768994/,2/
1,157959729,78/77/78/,0.3319058011794905/0.33618839764101893/0.3319058011794905/,0/1/2/
1,177182920,80/79/78/,0.32912293807734005/0.33331553063177527/0.33756153129088473/,0/1/2/
1,191267371,78/88/84/,0.35612982220565165/0.3137865742642986/0.3300836035300498/,0/1/2/
1,201846573,77/94/101/,0.3938080519522691/0.3166873136666129/0.28950463438111806/,0/
1,222414487,77/112/105/,0.4279286052603051/0.27320936958564007/0.2988620251540549/,0/
2,167595925,77/78/77/,0.3347547780132198/0.33049044397356037/0.3347547780132198/,0/1/2/
2,188756514,77/78/77/,0.3347547780132198/0.33049044397356037/0.3347547780132198/,0/1/2/
2,204048718,88/89/101/,0.3505172818549021/0.34660092861618474/0.30288178952891315/,0/1/
2,226009369,87/84/128/,0.3768957635386389/0.39043549796799437/0.23266873849336672/,0/1/
2,219378808,80/132/116/,0.46137543093396866/0.2427996910477517/0.2958248780182797/,0/
0,176096250,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,200610620,80/83/80/,0.3374228482820432/0.32515430343591367/0.3374228482820432/,0/1/2/
0,249483574,92/83/79/,0.3034421958935317/0.3395737430011447/0.35698406110532355/,1/2/
0,216051684,95/85/77/,0.29443332271235145/0.3347077279769138/0.37085894931073476/,1/2/
0,220905520,80/78/77/,0.32624475872270575/0.3347181782895559/0.3390370629877384/,0/1/2/
1,161685636,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,175389357,79/79/79/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,183019795,79/79/81/,0.3360994415933897/0.3360994415933897/0.32780111681322066/,0/1/2/
1,224300263,88/78/91/,0.3228222263225107/0.36638477071180675/0.3107930029656826/,0/1/
1,204060258,89/109/91/,0.35987271332916404/0.28816354185181975/0.35196374481901627/,0/2/
2,162804816,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,172642173,78/79/77/,0.3333150712449743/0.32906907716931894/0.33761585158570684/,0/1/2/
2,185789722,78/80/77/,0.3347181782895559/0.32624475872270575/0.3390370629877384/,0/1/2/
2,197511737,78/80/81/,0.3403978791892721/0.33188838101794077/0.3277137397927871/,0/1/2/
2,196425020,77/84/88/,0.35937191281281994/0.32852542471986934/0.3121026624673106/,0/1/2/
0,214464276,77/77/78/,0.3347547780132198/0.3347547780132198/0.33049044397356037/,0/1/2/
0,193838559,81/80/78/,0.3277137397927871/0.33188838101794077/0.3403978791892721/,0/1/2/
0,222893210,86/79/77/,0.31092605610951174/0.3401200732719528/0.3489538706185354/,0/1/2/
0,198288354,96/77/77/,0.2815599396861348/0.3592200301569326/0.3592200301569326/,1/2/
0,215159401,98/77/77/,0.2764023424091203/0.36179882879543984/0.36179882879543984/,1/2/
1,158743253,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,206870137,77/78/79/,0.3376158515857067/0.3333150712449742/0.3290690771693189/,0/1/2/
1,184010801,80/78/79/,0.32912293807734005/0.33756153129088473/0.33331553063177527/,0/1/2/
1,192029693,80/91/79/,0.34672707650921486/0.3021845572518734/0.35108836623891176/,0/2/
1,196334639,112/91/78/,0.2602577153929708/0.3395071944035894/0.4002350902034397/,2/
2,169623764,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,210876618,77/88/82/,0.3563314596311903/0.3094621290832003/0.33420641128560935/,0/1/2/
2,227475237,92/100/98/,0.3502509821938897/0.32138136923869265/0.32836764856741757/,0/1/2/
2,235382923,81/85/89/,0.3497191684968478/0.3330690976413202/0.317211733861832/,0/1/2/
2,252417834,77/77/78/,0.3347547780132198/0.3347547780132198/0.33049044397356037/,0/1/2/
0,176580989,78/78/78/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,193650072,80/80/80/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,244678941,80/80/89/,0.34544231667422964/0.34544231667422964/0.3091153666515408/,0/1/2/
0,244869465,78/94/89/,0.3722066731150305/0.3039665393193728/0.32382678756559674/,0/2/
0,216502133,127/88/87/,0.24194840340362223/0.376872265800195/0.3811793307961828/,1/2/
1,164230178,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,182657806,79/77/77/,0.3276598839818431/0.33617005800907845/0.33617005800907845/,0/1/2/
1,240006086,103/96/87/,0.30467454119863174/0.32990000169830963/0.36542545710305846/,1/2/
1,216338452,121/97/80/,0.2497628117465414/0.33589815731658806/0.41433903093687047/,2/
1,206459726,146/161/77/,0.23545446931042585/0.19426240849339446/0.5702831221961796/,2/
2,164635029,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,192433049,79/78/78/,0.33052635319084134/0.3347368234045793/0.3347368234045793/,0/1/2/
2,212046460,79/82/78/,0.3360806813237596/0.323557412317122/0.34036190635911834/,0/1/2/
2,204802023,78/85/102/,0.3769012374247079/0.3449417590716362/0.2781570035036559/,0/1/
2,206809134,77/93/95/,0.38336715017463296/0.31226898303862877/0.3043638667867383/,0/
0,167995815,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,172513186,77/79/78/,0.33761585158570684/0.32906907716931894/0.3333150712449743/,0/1/2/
0,171744306,80/79/77/,0.3276417799606677/0.3318693575520265/0.3404888624873058/,0/1/2/
0,178298277,79/78/77/,0.32906907716931894/0.3333150712449743/0.33761585158570684/,0/1/2/
0,186234497,78/77/77/,0.33049044397356037/0.3347547780132198/0.3347547780132198/,0/1/2/
1,185487244,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,178105338,78/79/78/,0.3347368234045793/0.33052635319084134/0.3347368234045793/,0/1/2/
1,189271546,78/80/78/,0.33613430481110745/0.3277313903777851/0.33613430481110745/,0/1/2/
1,199579870,77/92/77/,0.3539756640629704/0.29204867187405914/0.3539756640629704/,0/2/
1,209832467,109/110/77/,0.286166795704118/0.28252140842933765/0.4313117958665443/,2/
2,172809493,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,192520975,88/79/91/,0.32443656099901635/0.3630679545421902/0.31249548445879344/,0/1/
2,251202307,115/124/117/,0.3438489621372028/0.3181796914064308/0.33797134645636645/,0/1/2/
2,254300614,90/91/100/,0.3466200022657319/0.3428318434322588/0.3105481543020094/,0/1/2/
2,271502083,78/114/208/,0.5473726184412877/0.347037752794736/0.10558962876397637/,0/
0,160428169,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,193793144,77/79/78/,0.33761585158570684/0.32906907716931894/0.3333150712449743/,0/1/2/
0,169276344,77/79/77/,0.33617005800907845/0.3276598839818431/0.33617005800907845/,0/1/2/
0,184399791,77/97/77/,0.3605130831567617/0.27897383368647655/0.3605130831567617/,0/2/
0,173342902,77/90/77/,0.3513108801140919/0.29737823977181627/0.3513108801140919/,0/2/
1,171979732,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,187504510,82/85/77/,0.3301996874985855/0.3177408287724132/0.3520594837290012/,0/1/2/
1,194128639,98/87/77/,0.28898298503040026/0.33275066377112644/0.3782663511984732/,1/2/
1,200969146,113/111/77/,0.27681772147735306/0.2840073931422724/0.4391748853803746/,2/
1,211975920,90/111/77/,0.3395208348037709/0.2593826916159577/0.4010964735802715/,2/
2,158672617,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,177133477,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,195389089,77/88/77/,0.3486182636928339/0.3027634726143323/0.3486182636928339/,0/1/2/
2,209503899,77/81/95/,0.3644403403863463/0.34622221595804675/0.28933744365560693/,0/1/
2,247413324,77/106/158/,0.4893578037342826/0.33741008334313716/0.17323211292258028/,0/
0,168387540,77/78/77/,0.3347547780132198/0.33049044397356037/0.3347547780132198/,0/1/2/
0,175238861,80/82/77/,0.33179648831426184/0.32339703158125416/0.34480648010448395/,0/1/2/
0,180040192,83/80/77/,0.32059813276793836/0.33316902854945396/0.3462328386826077/,0/1/2/
0,184332196,80/78/77/,0.32624475872270575/0.3347181782895559/0.3390370629877384/,0/1/2/
0,182682927,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,163637150,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,183275922,77/80/80/,0.34193441676533737/0.3290327916173314/0.3290327916173314/,0/1/2/
1,180715560,77/83/81/,0.34770856029573793/0.3219645935446082/0.33032684615965385/,0/1/2/
1,180313388,84/108/79/,0.35646650274390707/0.26407688029537596/0.379456616960717/,0/2/
1,193881066,83/108/78/,0.3579015763107072/0.26081264802176984/0.38128577566752286/,0/2/
2,170851088,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,172052399,79/79/79/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,191837969,79/79/81/,0.3360994415933897/0.3360994415933897/0.32780111681322066/,0/1/2/
2,193981370,79/79/86/,0.3429097897010377/0.3429097897010377/0.31418042059792456/,0/1/2/
2,195586771,78/78/86/,0.3443890508296493/0.3443890508296493/0.31122189834070124/,0/1/2/
0,163459560,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,190109755,79/79/78/,0.3319239089225874/0.3319239089225874/0.3361521821548252/,0/1/2/
0,191289758,79/82/78/,0.3360806813237596/0.323557412317122/0.34036190635911834/,0/1/2/
0,193185928,79/100/77/,0.35843070895271256/0.27382921021534307/0.36774008083194437/,0/2/
0,197158135,79/92/77/,0.3481343451581961/0.2946893609831742/0.35717629385862976/,0/2/
1,195593653,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,206911019,79/79/79/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,197380448,79/79/79/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,224595975,91/89/78/,0.3120601553864789/0.3200612650169575/0.3678785795965635/,1/2/
1,236227275,94/93/77/,0.307085097133849/0.31104743086137054/0.3818674720047804/,2/
2,193430023,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,195031996,77/80/85/,0.349065846409263/0.3358951432523638/0.31503901033837317/,0/1/2/
2,211737248,82/80/92/,0.3437774591643269/0.3523714535700255/0.3038510872656477/,0/1/
2,220131022,80/78/88/,0.3413747084573745/0.3501274326366514/0.30849785890597425/,0/1/2/
2,239449527,77/106/97/,0.4059561726863082/0.27990502044619253/0.31413880686749934/,0/
0,160906136,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,210341599,78/78/78/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,207188424,78/80/77/,0.3347181782895559/0.32624475872270575/0.3390370629877384/,0/1/2/
0,177991895,87/94/77/,0.32776657614059845/0.29963291452788865/0.37260050933151295/,0/2/
0,210652540,87/100/77/,0.3352028837765856/0.2837431152475123/0.38105400097590214/,0/2/
1,159808130,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,170835710,80/80/78/,0.330508626082229/0.330508626082229/0.338982747835542/,0/1/2/
1,190717973,81/81/85/,0.3387086201664699/0.3387086201664699/0.32258275966706024/,0/1/2/
1,197428969,79/79/85/,0.34155997773357505/0.34155997773357505/0.31688004453284985/,0/1/2/
1,220235515,77/77/102/,0.36686790309589873/0.36686790309589873/0.26626419380820254/,0/1/
2,172883728,77/77/78/,0.3347547780132198/0.3347547780132198/0.33049044397356037/,0/1/2/
2,182909925,80/82/82/,0.3388426941483096/0.33057865292584515/0.33057865292584515/,0/1/2/
2,197856625,80/80/84/,0.3387744135330684/0.3387744135330684/0.3224511729338631/,0/1/2/
2,215223287,78/78/84/,0.3416627132271587/0.3416627132271587/0.31667457354568274/,0/1/2/
2,196396027,77/77/84/,0.3431514032272579/0.3431514032272579/0.31369719354548414/,0/1/2/
0,173609478,77/78/78/,0.33618839764101893/0.3319058011794905/0.3319058011794905/,0/1/2/
0,195130521,82/78/78/,0.3221780953892971/0.3389109523053514/0.3389109523053514/,0/1/2/
0,201146079,100/91/77/,0.28857870271493974/0.32387332393585555/0.3875479733492048/,2/
0,202522928,100/86/77/,0.2825211719433581/0.3380658409414902/0.37941298711515176/,1/2/
0,213225162,100/78/77/,0.27256862160243717/0.36138421030506396/0.3660471680924988/,1/2/
1,166646642,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,184207739,79/80/79/,0.3347193167102421/0.3305613665795158/0.3347193167102421/,0/1/2/
1,190753654,79/82/80/,0.33889433885378895/0.3264211353811581/0.3346845257650531/,0/1/2/
1,214534443,87/88/79/,0.32333697011845314/0.3193204137679378/0.35734261611360907/,0/1/2/
1,207264414,83/97/78/,0.34447877440374247/0.28853525684628084/0.36698596874997663/,0/2/
2,167064668,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,192772001,77/85/81/,0.3505658689594505/0.3163928111314254/0.333041319909124/,0/1/2/
2,200290951,77/86/81/,0.35198451679509757/0.3136264326993216/0.33438905050558076/,0/1/2/
2,209891330,93/90/86/,0.32062900463035593/0.33187801096509595/0.347492984404548/,0/1/2/
2,210813964,83/102/135/,0.42807794407765337/0.3414204862470373/0.23050156967530927/,0/
0,174907861,77/77/77/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,187521967,79/79/78/,0.3319239089225874/0.3319239089225874/0.3361521821548252/,0/1/2/
0,189552985,79/79/78/,0.3319239089225874/0.3319239089225874/0.3361521821548252/,0/1/2/
0,201170165,81/79/78/,0.32633405792274556/0.33470114525680505/0.3389647968204493/,0/1/2/
0,195876049,81/78/77/,0.3234329952166845/0.3361150481034846/0.34045195667983097/,0/1/2/
1,172188314,77/78/77/,0.3347547780132198/0.33049044397356037/0.3347547780132198/,0/1/2/
1,190956714,77/80/77/,0.3375790977878761/0.3248418044242478/0.3375790977878761/,0/1/2/
1,198757847,101/78/101/,0.29958499677320793/0.4008300064535842/0.29958499677320793/,1/
1,221155970,99/78/86/,0.2870779404789188/0.3744942815623853/0.338427777958696/,1/2/
