Obs,Real_Goal,STime,Cost,Prob,Results
5,2,139595677/24406981/13064794/,53/63/57/,0.3623774911410439/0.3011177175551024/0.3365047913038535/,0/2/
7,2,148959209/21877621/15587381/,59/65/64/,0.3539971082813392/0.32030982944948294/0.3256930622691778/,0/1/2/
2,0,118015722/16303189/12038810/,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
4,0,135646211/20656918/16038059/,60/55/68/,0.33780692057809697/0.36935572559008595/0.29283735383181714/,0/1/
6,0,148464373/38060328/11894586/,65/86/58/,0.3537957985486294/0.2478410722525684/0.3983631291988022/,2/
8,0,141585537/22540355/15964528/,134/73/74/,0.1808295103238974/0.41235267059424136/0.4068178190818612/,1/2/
11,0,140382049/29520766/14694064/,117/83/104/,0.27275264768734847/0.40884137180158775/0.3184059805110639/,1/
1,1,121865131/14717827/20813336/,50/51/50/,0.33550481664848303/0.32899036670303383/0.33550481664848303/,0/1/2/
3,1,131856093/13833771/12814235/,61/50/51/,0.2892400895507101/0.3588639608095316/0.35189594963975834/,1/2/
4,1,134596610/14529841/18476731/,55/56/54/,0.3332966054228927/0.3272914251217217/0.3394119694553856/,0/1/2/
5,1,134752498/21169390/13905264/,65/70/54/,0.31902979471984183/0.29130633407407064/0.38966387120608753/,2/
7,1,144503812/15407128/20606751/,64/61/88/,0.3664880076058043/0.3846573339059044/0.2488546584882913/,0/1/
1,2,108046086/17035260/9595121/,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
3,2,116624443/22346809/11653823/,53/70/53/,0.36631055954632374/0.26737888090735246/0.36631055954632374/,0/2/
5,2,135159173/20465356/16241192/,77/60/62/,0.2777647009377881/0.3670370807358931/0.35519821832631876/,1/2/
7,2,175517619/39610898/17749185/,176/75/120/,0.14563687972787778/0.5500800246159477/0.3042830956561744/,1/
10,2,139452893/26821208/20182298/,83/272/69/,0.43694677359825457/0.029365231959650056/0.5336879944420955/,2/
1,0,135894078/19303008/10717186/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
3,0,149245964/18441918/10705301/,50/54/51/,0.34421646564068303/0.31825067153011033/0.33753286282920664/,0/1/2/
5,0,135299075/16606541/10269320/,70/57/72/,0.31081493727547577/0.3889051988278972/0.300279863896627/,1/
7,0,139036795/23356853/12686255/,58/56/166/,0.4574422168806426/0.4737777330661246/0.0687800500532327/,0/1/
9,0,138718573/16382796/18592033/,58/56/86/,0.37770268969045584/0.3911906629755022/0.23110664733404185/,0/1/
1,1,114120992/13954585/12418383/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,1,120326280/20146202/16675860/,54/50/54/,0.32450789483641307/0.35098421032717386/0.32450789483641307/,0/1/2/
5,1,129358777/26673482/10774950/,62/62/90/,0.37861859204340387/0.37861859204340387/0.24276281591319224/,0/1/
7,1,121826766/30351345/8070070/,58/65/62/,0.3542865021395111/0.3146502945479572/0.3310632033125318/,0/2/
9,1,123661103/33127948/10981743/,58/72/70/,0.3839178240067967/0.3028205525048957/0.31326162348830766/,0/
1,2,120700912/14689336/11449110/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,2,129782673/14464193/12561936/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
3,2,127291421/16123424/18920578/,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
5,2,143272620/15960541/9899484/,58/70/54/,0.34729259163675735/0.2792160374697436/0.3734913708934991/,0/2/
6,2,145366594/18366670/11449464/,63/100/54/,0.37200985061946706/0.18984217353381594/0.4381479758467169/,2/
