Real_Goal,Time,Cost,Prob,Results
1,221688307,50/56/65/,0.3796221008830457/0.3374877548477453/0.282890144269209/,0/
1,229271146,50/56/122/,0.468884235534693/0.4168426642337572/0.11427310023154984/,0/
2,227645227,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
2,204556227,163/163/50/,0.08954396458784748/0.08954396458784748/0.8209120708243051/,2/
2,194511564,528/528/50/,8.501192153916424E-5/8.501192153916424E-5/0.9998299761569216/,2/
2,209562429,86/3221/65/,0.42111891648742317/9.895024179404283E-22/0.5788810835125768/,2/
2,242532822,303/141/71/,0.028112364971748755/0.2667226925872508/0.7051649424410005/,2/
0,179403108,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,229964274,61/61/70/,0.3490544204330145/0.3490544204330145/0.30189115913397085/,0/1/
0,194845930,55/80/53/,0.3749324092844783/0.23598843624278354/0.3890791544727382/,0/2/
0,407487464,55/120/62/,0.45542333587132533/0.1426669808574861/0.40190968327118853/,0/
0,300805150,55/64/62/,0.3657601352649306/0.3114576782748454/0.32278218646022394/,0/
1,154799863,51/56/56/,0.3550318723407692/0.3224840638296153/0.3224840638296153/,0/1/2/
1,274984889,146/289/107/,0.3702370747645318/0.0985012727075241/0.531261652527944/,2/
1,211769320,784/1779/517/,0.3545012817090067/0.05192822832403761/0.5935704899669558/,2/
1,288287329,116/152/114/,0.36380020160217347/0.26601729939315444/0.3701824990046721/,0/2/
1,304721052,161/138/438/,0.43173098551509154/0.5094187151461382/0.05885029933877024/,1/
2,204659068,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,202650853,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,238518146,55/100/100/,0.527578044921821/0.2362109775390895/0.2362109775390895/,0/
2,288991030,66/64/55/,0.30736998655240066/0.318545867487276/0.3740841459603234/,2/
2,239411781,78/64/69/,0.29508584401530064/0.36600643896792573/0.3389077170167735/,1/2/
0,181166445,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,279990066,50/50/56/,0.3461393630355498/0.3461393630355498/0.3077212739289003/,0/1/
0,316991186,50/56/68/,0.3858578039933101/0.3430313558069228/0.2711108401997672/,0/
0,450256036,59/100/146/,0.5748773861698965/0.2902734597376216/0.134849154092482/,0/
0,443917404,56/60/437/,0.5172019405240508/0.4821512976206085/6.467618553406875E-4/,0/1/
1,292720214,53/50/53/,0.3267345947460887/0.3465308105078227/0.3267345947460887/,0/1/2/
1,308557693,53/53/80/,0.3836517311905507/0.3836517311905507/0.2326965376188986/,0/1/
1,401792328,63/58/201/,0.45769398183986776/0.49817257920719477/0.044133438952937545/,0/1/
1,315294945,217/158/78/,0.11211005691565848/0.23658711306506136/0.6513028300192801/,2/
1,361323550,1177/790/78/,9.08459832024361E-7/1.2184254197357632E-4/0.9998772489981944/,2/
2,360692289,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,333567363,52/53/53/,0.33753930700706153/0.33123034649646926/0.33123034649646926/,0/1/2/
2,384056826,74/57/62/,0.2800777762518768/0.37546707534958396/0.34445514839853913/,1/2/
