Obs,Real_Goal,STime,Cost,Prob,Results
2,1,110325028/24587388/8961110/,51/51/53/,0.3375790977878761/0.3375790977878761/0.3248418044242478/,0/1/2/
6,1,129872327/31040853/12298379/,66/52/62/,0.29579520033761414/0.3852214129302419/0.31898338673214394/,1/
9,1,119294824/36998148/10420492/,227/137/58/,0.0432231747687111/0.1987008710323329/0.758075954198956/,2/
13,1,138346790/46155598/15046503/,2125/59/113/,7.900091011418292E-16/0.7109495026250033/0.28905049737499583/,1/
18,1,122883816/45770069/17484157/,31383/59/1439/,1.8592058661639275E-227/0.9999999998973812/1.026187963064882E-10/,1/
2,2,105213162/33030142/18342696/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
4,2,106119903/28601086/8697148/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
6,2,113748878/21612954/8184074/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
8,2,109134325/27122378/7617084/,62/62/50/,0.306252369787455/0.306252369787455/0.38749526042509/,2/
11,2,108231818/24852262/6658990/,242/242/50/,0.022147897559969272/0.022147897559969272/0.9557042048800615/,2/
2,0,101203699/29697348/9976718/,50/53/53/,0.3465308105078227/0.3267345947460887/0.3267345947460887/,0/1/2/
4,0,109996565/27739468/8078937/,50/80/80/,0.4737960584637499/0.2631019707681251/0.2631019707681251/,0/
6,0,120393003/24643348/7052452/,62/64/201/,0.48103415613553746/0.4660030813838055/0.05296276248065712/,0/1/
9,0,132258292/27265941/8129017/,69/178/1177/,0.8259428980989159/0.17405699157230942/1.1032877480551656E-7/,0/
12,0,202873467/67348558/9513309/,96/858/6710/,0.999612601847627/3.873981523730037E-4/2.439024846385123E-30/,0/
3,1,109798439/32453771/5624276/,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
7,1,132306834/42558016/7312134/,528/50/528/,8.501192153916424E-5/0.9998299761569216/8.501192153916424E-5/,1/
12,1,122961630/50485477/9460827/,114/108/232/,0.417481909576805/0.44110682715422156/0.14141126326897346/,0/1/
17,1,144441110/52892639/9361796/,108/132/3356/,0.5548245556121493/0.44517544438778717/6.35297262366384E-14/,0/
